name,ra,dec,quality,quality_category
1413_19_0_line165__EON_2.203_4.456,2.20291600275,4.4560567348374995,3,2
1842_72_0_line21004__EON_335.554_22.952,335.55379549625,22.951640403000003,2,2
1716_70_0_line9420,161.160471645,19.18245353275,3,1
1241_73_0_line2622,36.7313956845,-1.064014156125,3,1
966_80_1_line118,1.631931985475,-12.4808663285,1,1
EON_208.219_-1.896,208.219131,-1.895424,2,2
1174_70_0_line6811,127.0915692175,-5.181950397225,2,2
EON_242.464_22.615,242.46405,22.615234,2,1
2562_2_0_line18034__EON_264.025_68.156,264.02459192875,68.15578804437499,2,2
EON_214.269_0.508,214.268524,0.507992,2,2
812_51_0_line4273,70.18165843125,-21.90731981625,2,2
1406_7_0_line20971,335.09561509,0.343185784475,3,2
2203_83_0_line16679__EON_244.332_43.480,244.332089315,43.479603993999994,3,2
1232_78_1_line22607,358.4551358875,-0.97441476657,2,2
1678_50_0_line160,2.1246565094,18.3241318945,3,2
1061_45_1_line2066,28.132011259499997,-10.05379587725,3,2
1418_26_0_line1783,23.537812863000003,4.981106164024999,3,1
2376_64_1_line10964,176.9169872,54.51501933825,3,2
2052_55_1_line13352,203.56172693,34.19417915025,3,1
1357_17_0_line7634,139.208388085,0.5727324977975,3,1
1757_22_0_line20755,331.89454188,17.1410470575,2,1
972_14_0_line1849,24.57470905725,-15.49153402925,3,2
2420_85_0_line5894,114.45164554,59.414681916999996,2,1
2037_55_0_line7211,132.40033389,33.98760226675,3,1
1597_63_1_line2145,29.2907432135,14.55003823625,2,2
1161_88_0_line4306,71.220438038,-4.7775329198500005,3,2
1377_77_0_line14668,219.11131412,2.86619037375,2,2
1196_49_0_line14125,212.465435225,-6.156832140924998,2,2
1096_93_1_line10367__EON_170.559_-7.992,170.5587629725,-7.9918795675875,1,1
2205_8_0_line17315,252.402683155,40.16774014625,3,1
1066_8_0_line3300,47.244128450249995,-11.9246304585,3,1
1727_97_0_line13396,204.03431223,19.72894261175,2,2
2329_15_0_line16203__EON_239.747_48.530,239.7464487475,48.530073790124995,2,2
1562_60_0_line17049,248.666049745,10.62196194225,3,1
814_58_3_line4507,75.789885135,-21.77964451075,2,1
2127_7_0_line13778,208.618555395,36.2189967825,3,2
1183_91_0_line9603,163.086312285,-4.354417431775,2,1
1933_63_0_line1090,14.257652215710499,30.482890481139602,3,1
1502_46_0_line256,3.53233421815,9.713838121024999,3,2
1221_23_0_line19940__EON_315.984_-6.805,315.9840150325,-6.805372076025,3,1
1969_68_0_line10893__EON_176.104_30.604,176.1034820783335,30.603983395,2,2
EON_255.313_30.825,255.312592,30.824865000000006,3,2
2135_7_0_line17036__EON_248.503_36.191,248.5033187575,36.190892700250004,2,2
2111_67_0_line6944,128.949947065,38.5540872805,2,2
2364_31_0_line5192,100.5986409175,53.179274421,2,1
1676_75_0_line22110__EON_351.725_14.994,351.72523945,14.993578606749999,3,2
1908_42_0_line18061__EON_264.497_25.763,264.49699340250004,25.763277064375,2,2
1370_7_0_line12214__EON_190.975_0.167,190.97457357375,0.16681623816500002,2,1
1239_50_0_line2179,29.857581343499998,-1.924168959375,3,2
EON_115.964_44.724,115.964127,44.723919,2,2
1808_35_1_line12003,188.5462157575,21.542312751999997,3,2
1109_86_0_line14880,221.6968174275,-8.768150995800001,2,2
1581_68_0_line20212__EON_322.343_10.494,322.343081495,10.494539853625,3,2
1630_87_0_line9541,162.55411888,15.491763119249999,3,2
EON_232.087_61.414,232.087204,61.41375,2,1
2486_61_0_line17761,258.9752791225,62.5274084745,3,1
1902_86_0_line15945,236.5673330925,27.45712030025,3,1
1981_51_0_line15775,234.218484035,30.02869521225,3,1
2005_53_0_line21479,342.6764846775,30.185591344499997,1,1
1587_32_0_line21906,348.9578886225,9.516367976175,3,1
1109_81_0_line15043,223.7113082525,-8.668948023675,2,1
1724_10_0_line12534__EON_194.394_16.507,194.393741465,16.507206241,2,2
2369_67_0_line6940__EON_128.898_54.545,128.89822663625,54.5446951175,3,2
1242_96_0_line2799,39.26579678225,-0.221280759935,3,1
EON_244.382_41.251,244.381622,41.250973,2,1
2206_44_1_line17824,259.9354266575,41.80397730775,2,1
EON_160.292_6.290,160.291824,6.290479,1,1
1971_65_1_line11832__EON_186.632_30.790,186.632481845,30.790208793,2,2
2308_81_0_line5974,116.02638726,51.5957435355,2,1
1098_72_0_line11119,178.804869815,-9.025993244225,2,2
EON_220.185_14.363,220.18541,14.363326999999998,3,1
EON_229.957_7.813,229.956833,7.812814,1,1
1145_3_0_line628,8.7178309268,-7.644188071725,2,2
1686_62_0_line2483__EON_34.494_18.547,34.494178523,18.547235125,2,2
896_35_0_line4132,66.8284487185,-18.73243289025,2,2
2318_25_0_line10686__EON_173.941_48.851,173.94066401375,48.850758027625005,3,1
1273_1_0_line9829,165.2242877325,-3.828561501275,3,2
EON_196.180_7.536,196.180405,7.535908999999998,3,2
1815_26_0_line14572__EON_218.024_21.199,218.02379682,21.198746064875,2,2
1879_31_0_line7514,137.47978172,25.533676374749998,2,1
2432_42_0_line13341,203.4827086675,57.87549569825,3,2
1647_94_0_line15727__EON_233.499_15.960,233.49901940375,15.960465925125,2,2
1371_4_0_line12711,196.1167140525,0.2514079521675,3,1
1153_34_0_line2896,40.801652989000004,-6.48508116683333,2,2
1246_11_0_line3826,57.430307240249995,-3.25967515605,1,1
2112_50_0_line7510__EON_137.400_38.063,137.40023556375002,38.063417713,2,1
978_75_1_line3385,48.729142656499995,-12.9469608795,2,1
EON_349.725_-10.328,349.725281,-10.328408,1,1
2375_55_2_line10308,170.0720772625,54.270205430249995,3,1
2369_14_0_line7122,131.231125525,52.48425429175001,3,2
2060_3_0_line16507__EON_242.499_32.118,242.4987251175,32.117795771875,1,1
1287_3_0_line14789,220.5216780875,-3.96841930165,2,2
1820_82_0_line16346__EON_241.181_23.333,241.1808901,23.333104736750002,2,2
1179_85_0_line8118,145.55067145,-4.713627515375,3,2
EON_244.603_20.890,244.603043,20.890018,1,1
EON_157.921_36.023,157.92134099999996,36.02338,2,2
897_33_0_line4343,71.9317787755,-18.605963508,1,1
2034_20_1_line6326,120.48972786,33.1645977715,2,1
1621_21_0_line6898,128.4052318275,13.0557970155,1,1
1185_86_1_line10252,169.420252055,-4.460784852875,1,1
EON_221.947_16.830,221.94725,16.830070000000006,2,1
1327_3_0_line1557__EON_20.482_0.066,20.482131597625,0.066401138062125,2,1
1143_3_0_line54,0.7710693718475,-7.616556013849999,2,1
1642_27_0_line14069,211.8137555475,12.997337486,3,1
EON_195.958_28.186,195.957855,28.185652,1,1
2251_3_1_line8252,147.31269547,44.13066040575,3,2
970_73_0_line1311,17.147488023250002,-12.96973563525,3,1
1315_49_0_line20646,330.3790061925,-2.3602722233,1,1
EON_164.742_58.134,164.741592,58.133678,2,2
1274_10_0_line10302,169.915852625,-3.30523951835,2,2
2136_43_1_line17538__EON_255.527_37.731,255.52743202,37.730642429625,1,1
2392_70_0_line18894,284.8091198175,55.11348874,2,1
2057_94_0_line15351,227.686686265,35.90731370625,2,1
1374_18_0_line13598,206.419980385,0.8118947685825001,2,2
EON_246.997_40.497,246.996765,40.49726500000001,3,2
1979_5_0_line14992,223.07850861,28.1230665655,3,1
2562_94_0_line17949,262.31095513666696,71.6590921303333,3,2
2272_6_0_line18000,263.2827790225,44.19104822075,2,1
1989_37_0_line18237,267.7127311925,29.4850231215,2,1
EON_175.054_46.349,175.053818,46.34856,2,1
2061_32_0_line16954,247.4379342425,33.32803556725,3,1
716_30_0_line832,10.674533822,-26.6712147545,3,1
EON_242.055_40.318,242.055023,40.317966,3,2
1498_83_0_line21875__EON_348.493_7.275,348.49291466875,7.275343055975,2,2
1728_61_1_line13956,210.634958975,18.71277643925,3,1
1066_69_1_line3271,46.73291043800001,-9.54396508065,3,2
2319_6_0_line11135,178.9661942475,48.25462971325,3,2
1285_64_0_line14099,212.1630396375,-1.4939223847999998,2,1
2043_73_0_line9478,161.7854895725,34.838192349,2,2
1969_48_1_line10890,176.0679426475,29.840342916999997,1,1
1502_79_0_line169,2.26761959985,10.918920527249998,2,2
2128_63_0_line14402,216.0157650475,38.7755869505,3,1
1556_90_0_line15087__EON_224.302_11.632,224.30195093125,11.63215246625,1,1
1821_77_0_line16596,243.29050152,22.9498633615,2,1
2331_93_0_line17357__EON_253.058_51.845,253.05818362375,51.845388256875,3,1
1505_43_0_line1263,16.59344678625,9.698042652625,3,2
